year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,age,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,reqested_season,requested_league_id,requested_league,requested_level
2022,669008,Ronnie Dawson,player,42,Ronnie Dawson,Ronnie,Dawson,Ronnie,R Dawson,416,LOU,Louisville Bats,Bats,INT,117,LF,Outfielder,LF,27,448,155,194,0,2,.324,34,11,7,54,1793,4.002,.094,.250,.025,.375,.142,2,0,56,928,253,283,15,12,101,20,0,46,33,116,83,58,23,0,11,112,42,1,99,.252,393,.339,.394,.733,3,11,.786,.214,7,43,1.22,0,35.73,2022,117,International League,Triple-A
2022,664770,Nathan Lukes,player,42,Nathan Lukes,Nathan,Lukes,Nathan,N Lukes,422,BUF,Buffalo Bisons,Bisons,INT,117,CF,Outfielder,RF,27,484,182,174,0,2,.336,37,7,15,78,1764,3.645,.097,.184,.023,.528,.140,2,1,59,892,174,341,9,30,121,15,0,62,45,111,98,62,25,1,11,89,47,3,122,.285,428,.364,.425,.789,3,20,.870,.130,15,61,1.23,0,38.91,2022,117,International League,Triple-A
2022,578570,Juniel Querecuto,player,42,Juniel Querecuto,Juniel,Querecuto,Juniel,J Querecuto,416,LOU,Louisville Bats,Bats,INT,117,SS,Shortstop,3B,29,432,166,173,0,3,.294,40,2,12,59,1746,4.042,.067,.185,.025,.363,.161,1,1,82,876,194,321,13,13,111,26,0,51,25,108,108,52,27,2,11,80,29,0,102,.256,398,.308,.417,.725,5,10,.667,.333,12,34,1.03,0,36.18,2022,117,International League,Triple-A
2022,622569,Pablo Reyes,player,42,Pablo Reyes,Pablo,Reyes,Pablo,P Reyes,556,NAS,Nashville Sounds,Sounds,INT,117,2B,Second Base,OF,28,432,169,184,1,1,.305,40,6,7,70,1753,4.058,.090,.155,.025,.582,.166,2,0,61,748,151,320,33,32,89,18,0,60,27,99,126,63,27,2,11,67,39,0,105,.273,385,.348,.439,.787,7,15,.682,.318,7,59,0.71,0,35.00,2022,117,International League,Triple-A
2022,670298,Kramer Robertson,player,42,Kramer Robertson,Kramer,Robertson,Kramer,K Robertson,235,MEM,Memphis Redbirds,Redbirds,INT,117,SS,Shortstop,2B,27,514,149,182,0,0,.294,28,20,11,61,2205,4.290,.163,.200,.021,.816,.124,4,1,44,789,194,307,20,15,130,15,0,46,37,116,79,81,16,1,11,103,84,0,98,.239,410,.393,.363,.756,8,30,.789,.211,11,47,1.65,0,37.27,2022,117,International League,Triple-A
2022,655996,Cristian Santana,player,42,Cristian Santana,Cristian,Santana,Cristian,C Santana,416,LOU,Louisville Bats,Bats,INT,117,3B,Third Base,3B,25,504,179,214,0,7,.331,33,5,14,74,2014,3.996,.069,.222,.022,.313,.120,4,1,72,973,294,352,16,22,118,20,1,53,50,121,110,49,22,0,11,112,35,0,124,.271,457,.325,.392,.717,4,1,.200,.800,14,67,1.07,0,41.54,2022,117,International League,Triple-A
2022,670097,Zack Short,player,42,Zack Short,Zachary,Short,Zack,Z Short,512,TOL,Toledo Mud Hens,Mud Hens,INT,117,SS,Shortstop,SS,27,559,171,183,1,6,.308,43,5,6,58,2374,4.247,.157,.267,.020,.591,.144,11,0,85,931,265,317,28,11,88,25,1,47,32,128,124,79,31,1,11,149,88,2,105,.229,459,.355,.373,.728,5,11,.688,.313,6,60,0.71,0,41.73,2022,117,International League,Triple-A
2022,664051,Mitchell Tolman,player,42,Mitchell Tolman,Mitchell,Tolman,Mitchell,M Tolman,445,COL,Columbus Clippers,Clippers,INT,117,2B,Second Base,2B,28,423,152,160,5,3,.298,38,7,5,54,1793,4.239,.116,.201,.026,.576,.173,3,1,48,789,195,281,15,17,111,22,0,45,23,112,80,57,25,2,11,85,49,1,90,.251,358,.350,.425,.775,2,6,.750,.250,5,49,1.39,1,32.54,2022,117,International League,Triple-A
2022,642197,Jamie Westbrook,player,42,Jamie Westbrook,Jamie,Westbrook,Jamie,J Westbrook,512,TOL,Toledo Mud Hens,Mud Hens,INT,117,DH,Designated Hitter,2B,27,511,164,204,0,4,.287,33,14,7,63,1931,3.779,.106,.157,.022,.675,.128,12,1,64,958,239,353,34,19,127,27,0,54,28,123,117,58,22,0,11,80,54,3,109,.254,429,.353,.382,.735,2,1,.333,.667,7,48,1.09,10,39.00,2022,117,International League,Triple-A
2022,642215,Weston Wilson,player,42,Weston Wilson,Weston,Wilson,Weston,W Wilson,556,NAS,Nashville Sounds,Sounds,INT,117,3B,Third Base,3B,27,462,149,234,0,4,.302,32,3,8,57,1878,4.065,.084,.284,.024,.298,.130,7,0,60,897,261,289,22,16,96,22,1,44,28,118,98,63,21,0,11,131,39,0,95,.228,416,.297,.358,.655,4,17,.810,.190,8,54,0.98,0,37.82,2022,117,International League,Triple-A
