cluster,playerName,requested_season,requested_level,requested_league_name,teamName,age,distance_to_center,silhouette_width,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log
3,Dillon Thomas,2022,Triple-A,Pacific Coast League,Salt Lake Bees,29,0.9002780363890183,0.24725834091333695,4.0569999999999995,0.258130081300813,0.196,0.344,0.02012140319942108,0.7793248768009977
3,Seth Gray,2022,High-A,Midwest League,Cedar Rapids Kernels,24,0.9262763977208257,0.3019364411205743,3.94,0.3229166666666667,0.15300000000000002,0.348,0.03681397312271631,0.7793248768009977
4,Won-Bin Cho,2023,Low-A,Florida State League,Palm Beach Cardinals,19,0.7985408875792136,0.2474313527104808,3.8519999999999994,0.2168141592920354,0.119,0.34099999999999997,0.09087558273645911,0.7975071958841881
4,Carlos Jorge,2025,High-A,Midwest League,Dayton Dragons,21,0.7998056541255129,0.22693915515622942,3.8779999999999997,0.18550106609808104,0.10300000000000001,0.305,0.09550399703528337,0.7178397931503169
4,George Lombard Jr.,2024,Low-A,Florida State League,Tampa Tarpons,19,0.8191167078269855,0.277814688605517,4.019,0.24043715846994534,0.116,0.306,0.08883121370661574,0.7323678937132266
4,Won-Bin Cho,2025,High-A,Midwest League,Peoria Chiefs,21,0.8819878024982558,0.2059558990741767,3.9159999999999995,0.23641304347826086,0.10500000000000001,0.308,0.07585334251825948,0.8153648132841945
4,Sebastian Walcott,2025,Double-A,Texas League,Frisco RoughRiders,19,0.9124877049168162,0.04630446377911278,3.8189999999999995,0.1956521739130435,0.131,0.303,0.07333127308554963,0.7178397931503169
4,Kellen Strahm,2025,Triple-A,Pacific Coast League,Round Rock Express,28,0.9228899295096837,0.22139638484403687,3.981,0.21212121212121213,0.10200000000000001,0.29900000000000004,0.0827287151976289,0.7793248768009977
4,Jonah Cox,2025,High-A,Northwest League,Eugene Emeralds,23,0.9265318768307853,0.2924254690027764,3.9379999999999997,0.22445561139028475,0.14100000000000001,0.326,0.10937255714778706,0.7654678421395715
4,Corey Rosier,2022,High-A,Midwest League,Fort Wayne TinCaps,22,0.963283183202126,0.18260121228607182,3.761,0.18230563002680966,0.133,0.318,0.09457874005453794,0.7701082216960737
4,Geraldo Quintero,2023,High-A,South Atlantic League,Rome Braves,21,1.0532724941278944,0.20118725892568606,3.924,0.1864406779661017,0.07400000000000001,0.313,0.08524427986960972,0.712949807856125
4,Cody Milligan,2024,Double-A,Southern League,Mississippi Braves,25,1.0707817770919938,0.26365648031279254,3.749,0.24413145539906103,0.116,0.318,0.10253963931618496,0.6151856390902335
